ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 3 default,Download 1 name,Download 1 URL,Download 2 name,Download 2 URL,Meta: _yoast_wpseo_title,Meta: _yoast_wpseo_metadesc,Meta: _yoast_wpseo_focuskw,Meta: _wc_average_rating,Meta: _wc_review_count,Meta: _wo_test_batch,Meta: _virtual,Meta: _downloadable
1025,variable,WO-INVISIBLE-UMBRELLA,0850001000154,Invisible Umbrella,1,0,visible,You can't see it. Neither can the rain.,"A perfectly functional umbrella that is, through undisclosed methods, invisible. Provided in a visible carrying case so you don't misplace it (you will misplace it).",,,taxable,,1,,5,no,0,0.45,90,6,6,1,"Thank you for shopping with Wonders & Oddities. Remember: results may vary, reality may also vary.",,56.0,"Shop > Curiosities, Shop > Impossibilities","weather, handcrafted, invisible",standard,https://raw.githubusercontent.com/nickhamze/wonders-oddities-assets/main/wonders-invisible-umbrella.png,,,,,WO-FOG-IN-BOTTLE,WO-LEFT-SOCK,,,14,Size,Compact|Standard|Golf,1,1,Standard,Color,Invisible|Also Invisible,1,1,Invisible,Brand,NoShow Rainwear,1,1,,,,,,Invisible Umbrella | Wonders & Oddities General Store,Invisible Umbrella: You can't see it. Neither can the rain.,invisible umbrella,3.9,42,2026-04-16-a,no,no
1026,variation,WO-INVISIBLE-UMBRELLA-V1,,Invisible Umbrella – Compact / Invisible,1,0,visible,,"Variation of Invisible Umbrella. Specific combination: Size: Compact, Color: Invisible.",,,taxable,,1,20,3,no,0,0.45,90,6,6,0,,,56.0,,,standard,https://raw.githubusercontent.com/nickhamze/wonders-oddities-assets/main/wonders-invisible-umbrella.png,,,id:1025,,,,,,0,Size,Compact,,,,Color,Invisible,,,,,,,,,,,,,,,,,,2026-04-16-a,no,no
1027,variation,WO-INVISIBLE-UMBRELLA-V2,,Invisible Umbrella – Standard / Invisible,1,0,visible,,"Variation of Invisible Umbrella. Specific combination: Size: Standard, Color: Invisible.",2026-04-01 00:00:00,2026-05-31 23:59:59,taxable,,1,14,3,no,0,0.45,90,6,6,0,,58.0,72.0,,,standard,https://raw.githubusercontent.com/nickhamze/wonders-oddities-assets/main/wonders-invisible-umbrella.png,,,id:1025,,,,,,1,Size,Standard,,,,Color,Invisible,,,,,,,,,,,,,,,,,,2026-04-16-a,no,no
1028,variation,WO-INVISIBLE-UMBRELLA-V3,,Invisible Umbrella – Golf / Also Invisible,1,0,visible,,"Variation of Invisible Umbrella. Specific combination: Size: Golf, Color: Also Invisible.",,,taxable,,1,3,3,no,0,0.45,90,6,6,0,,,98.0,,,standard,https://raw.githubusercontent.com/nickhamze/wonders-oddities-assets/main/wonders-invisible-umbrella.png,,,id:1025,,,,,,2,Size,Golf,,,,Color,Also Invisible,,,,,,,,,,,,,,,,,,2026-04-16-a,no,no
1029,variable,WO-HANDCRAFTED-ECHO,0850001000161,Handcrafted Echo,1,0,visible,"A custom echo, tuned to your preferred canyon.",Wind up the brass reel and release to deploy the echo of your choice. Each echo is tuned by hand in a small workshop and tested in at least two canyons. Refills sold separately.,,,taxable,,1,,5,no,0,0.3,9,9,6,1,"Thank you for shopping with Wonders & Oddities. Remember: results may vary, reality may also vary.",,65.0,"Shop > Curiosities, Shop > Moods & Feelings","handcrafted, acoustic, brass",standard,https://raw.githubusercontent.com/nickhamze/wonders-oddities-assets/main/wonders-handcrafted-echo.png,,,,,WO-SILENCE-JAR,WO-DREAD-REPELLENT,,,15,Canyon Type,Shallow|Deep|Desert|Mountain,1,1,Deep,Delay,0.5s|1.0s|2.0s,1,1,1.0s,Brand,Reverb Artisans,1,1,,,,,,Handcrafted Echo | Wonders & Oddities General Store,"Handcrafted Echo: A custom echo, tuned to your preferred canyon.",handcrafted echo,4.4,22,2026-04-16-a,no,no
1030,variation,WO-HANDCRAFTED-ECHO-V1,,Handcrafted Echo – Shallow / 0.5s,1,0,visible,,"Variation of Handcrafted Echo. Specific combination: Canyon Type: Shallow, Delay: 0.5s.",,,taxable,,1,10,3,no,0,0.3,9,9,6,0,,,65.0,,,standard,https://raw.githubusercontent.com/nickhamze/wonders-oddities-assets/main/wonders-handcrafted-echo.png,,,id:1029,,,,,,0,Canyon Type,Shallow,,,,Delay,0.5s,,,,,,,,,,,,,,,,,,2026-04-16-a,no,no
1031,variation,WO-HANDCRAFTED-ECHO-V2,,Handcrafted Echo – Deep / 1.0s,1,0,visible,,"Variation of Handcrafted Echo. Specific combination: Canyon Type: Deep, Delay: 1.0s.",2026-04-01 00:00:00,2026-05-31 23:59:59,taxable,,1,6,3,no,0,0.3,9,9,6,0,,59.0,75.0,,,standard,https://raw.githubusercontent.com/nickhamze/wonders-oddities-assets/main/wonders-handcrafted-echo.png,,,id:1029,,,,,,1,Canyon Type,Deep,,,,Delay,1.0s,,,,,,,,,,,,,,,,,,2026-04-16-a,no,no
1032,variation,WO-HANDCRAFTED-ECHO-V3,,Handcrafted Echo – Desert / 2.0s,1,0,visible,,"Variation of Handcrafted Echo. Specific combination: Canyon Type: Desert, Delay: 2.0s.",,,taxable,,1,2,3,no,0,0.3,9,9,6,0,,,89.0,,,standard,https://raw.githubusercontent.com/nickhamze/wonders-oddities-assets/main/wonders-handcrafted-echo.png,,,id:1029,,,,,,2,Canyon Type,Desert,,,,Delay,2.0s,,,,,,,,,,,,,,,,,,2026-04-16-a,no,no
1033,variation,WO-HANDCRAFTED-ECHO-V4,,Handcrafted Echo – Mountain / 2.0s,1,0,visible,,"Variation of Handcrafted Echo. Specific combination: Canyon Type: Mountain, Delay: 2.0s.",,,taxable,,0,0,3,no,0,0.3,9,9,6,0,,,95.0,,,standard,https://raw.githubusercontent.com/nickhamze/wonders-oddities-assets/main/wonders-handcrafted-echo.png,,,id:1029,,,,,,3,Canyon Type,Mountain,,,,Delay,2.0s,,,,,,,,,,,,,,,,,,2026-04-16-a,no,no
1034,variable,WO-MEMORY-FOAM-MEMORY,0850001000178,Memory Foam Memory,1,0,visible,A memory that remembers you. Comes in three densities.,"Not a pillow. Not a mattress. A standalone memory, molded from ethically sourced memory foam and imprinted with one of several pleasant recollections. Place on nightstand.",,,taxable,,1,,5,no,0,0.2,15,15,10,1,"Thank you for shopping with Wonders & Oddities. Remember: results may vary, reality may also vary.",,48.0,"Shop > Moods & Feelings, Shop > Curiosities","soft, memory, handcrafted",standard,https://raw.githubusercontent.com/nickhamze/wonders-oddities-assets/main/wonders-memory-foam-memory.png,,,,,"WO-SPARE-TUESDAY, WO-BORROWED-NOSTALGIA",WO-SILENCE-JAR,,,16,Density,Soft|Medium|Firm,1,1,Medium,Memory,Beach Day|Warm Kitchen|Rainy Afternoon,1,1,Warm Kitchen,Brand,Wonders & Co.,1,1,,,,,,Memory Foam Memory | Wonders & Oddities General Store,Memory Foam Memory: A memory that remembers you. Comes in three densities.,memory memory,4.8,93,2026-04-16-a,no,no
1035,variation,WO-MEMORY-FOAM-MEMORY-V1,,Memory Foam Memory – Soft / Beach Day,1,0,visible,,"Variation of Memory Foam Memory. Specific combination: Density: Soft, Memory: Beach Day.",,,taxable,,1,12,3,no,0,0.2,15,15,10,0,,,48.0,,,standard,https://raw.githubusercontent.com/nickhamze/wonders-oddities-assets/main/wonders-memory-foam-memory.png,,,id:1034,,,,,,0,Density,Soft,,,,Memory,Beach Day,,,,,,,,,,,,,,,,,,2026-04-16-a,no,no
1036,variation,WO-MEMORY-FOAM-MEMORY-V2,,Memory Foam Memory – Medium / Warm Kitchen,1,0,visible,,"Variation of Memory Foam Memory. Specific combination: Density: Medium, Memory: Warm Kitchen.",2026-04-01 00:00:00,2026-05-31 23:59:59,taxable,,1,9,3,no,0,0.2,15,15,10,0,,42.0,54.0,,,standard,https://raw.githubusercontent.com/nickhamze/wonders-oddities-assets/main/wonders-memory-foam-memory.png,,,id:1034,,,,,,1,Density,Medium,,,,Memory,Warm Kitchen,,,,,,,,,,,,,,,,,,2026-04-16-a,no,no
1037,variation,WO-MEMORY-FOAM-MEMORY-V3,,Memory Foam Memory – Firm / Rainy Afternoon,1,0,visible,,"Variation of Memory Foam Memory. Specific combination: Density: Firm, Memory: Rainy Afternoon.",,,taxable,,1,3,3,no,0,0.2,15,15,10,0,,,62.0,,,standard,https://raw.githubusercontent.com/nickhamze/wonders-oddities-assets/main/wonders-memory-foam-memory.png,,,id:1034,,,,,,2,Density,Firm,,,,Memory,Rainy Afternoon,,,,,,,,,,,,,,,,,,2026-04-16-a,no,no
1038,variable,WO-GENTLY-USED-LUCK,0850001000185,Gently Used Luck,1,0,visible,Pre-owned luck. Not our previous owner's fault.,"Sourced from estate sales, abandoned lottery pools, and one very specific rabbit's foot. Each packet contains one ounce of luck in varying conditions. All sales final; luck does not come with a warranty.",,,taxable,,1,,5,no,0,0.05,10,7,1,1,"Thank you for shopping with Wonders & Oddities. Remember: results may vary, reality may also vary.",,22.0,"Shop > Curiosities, Shop > Moods & Feelings","pre-owned, luck, questionable",standard,https://raw.githubusercontent.com/nickhamze/wonders-oddities-assets/main/wonders-gently-used-luck.png,,,,,WO-MOON-DUST,WO-WHISPERING-STONE,,,17,Condition,Good|Fair|Rough,1,1,Good,Luck Type,General|Gambling|Romantic,1,1,General,Brand,Second-Hand Fortune,1,1,,,,,,Gently Used Luck | Wonders & Oddities General Store,Gently Used Luck: Pre-owned luck. Not our previous owner's fault.,gently luck,3.6,67,2026-04-16-a,no,no
1039,variation,WO-GENTLY-USED-LUCK-V1,,Gently Used Luck – Good / General,1,0,visible,,"Variation of Gently Used Luck. Specific combination: Condition: Good, Luck Type: General.",,,taxable,,1,30,3,no,0,0.05,10,7,1,0,,,22.0,,,standard,https://raw.githubusercontent.com/nickhamze/wonders-oddities-assets/main/wonders-gently-used-luck.png,,,id:1038,,,,,,0,Condition,Good,,,,Luck Type,General,,,,,,,,,,,,,,,,,,2026-04-16-a,no,no
1040,variation,WO-GENTLY-USED-LUCK-V2,,Gently Used Luck – Fair / Gambling,1,0,visible,,"Variation of Gently Used Luck. Specific combination: Condition: Fair, Luck Type: Gambling.",2026-04-01 00:00:00,2026-05-31 23:59:59,taxable,,1,18,3,no,0,0.05,10,7,1,0,,12.0,16.0,,,standard,https://raw.githubusercontent.com/nickhamze/wonders-oddities-assets/main/wonders-gently-used-luck.png,,,id:1038,,,,,,1,Condition,Fair,,,,Luck Type,Gambling,,,,,,,,,,,,,,,,,,2026-04-16-a,no,no
1041,variation,WO-GENTLY-USED-LUCK-V3,,Gently Used Luck – Rough / Romantic,1,0,visible,,"Variation of Gently Used Luck. Specific combination: Condition: Rough, Luck Type: Romantic.",,,taxable,,1,7,3,no,0,0.05,10,7,1,0,,,9.0,,,standard,https://raw.githubusercontent.com/nickhamze/wonders-oddities-assets/main/wonders-gently-used-luck.png,,,id:1038,,,,,,2,Condition,Rough,,,,Luck Type,Romantic,,,,,,,,,,,,,,,,,,2026-04-16-a,no,no
1042,grouped,WO-MONDAY-KIT,0850001000192,Monday Survival Kit,1,1,visible,Three essentials for surviving the most regrettable day of the week.,"A curated bundle of our three best-selling Monday remedies: Bottled Monday Morning (to face it), Existential Dread Repellent (to tolerate it), and Artisanal Silence (to recover from it). Save 15% vs. buying separately.",,,none,,1,,0,no,0,0.8,30,20,15,1,"Thank you for shopping with Wonders & Oddities. Remember: results may vary, reality may also vary.",,,"Shop > Curated Bundles, Shop > Moods & Feelings","bundle, bestseller, savings",standard,https://raw.githubusercontent.com/nickhamze/wonders-oddities-assets/main/wonders-monday-kit.png,,,,"WO-BOTTLED-MORNING, WO-DREAD-REPELLENT, WO-SILENCE-JAR",WO-SENSORY-STARTER,WO-HAUNTED-CANDLE,,,18,Brand,Wonders & Co.,1,1,,Items,3 products,1,0,,Savings,~15%,1,0,,,,,,Monday Survival Kit | Wonders & Oddities General Store,Monday Survival Kit: Three essentials for surviving the most regrettable day of the week.,monday kit,4.8,54,2026-04-16-a,no,no
1043,grouped,WO-SENSORY-STARTER,0850001000208,Sensory Starter Pack,1,0,visible,"Fog, echo, and thunder — a complete atmosphere in one box.","Everything you need to set an ambient scene: one Fog in a Bottle, one Handcrafted Echo, and one Pocket-Sized Thunder. Directions: uncork the fog, wind the echo, squeeze the thunder, close your eyes.",,,none,,1,,0,no,0,0.9,35,20,20,1,"Thank you for shopping with Wonders & Oddities. Remember: results may vary, reality may also vary.",,,"Shop > Curated Bundles, Shop > Curiosities","bundle, ambient, atmospheric",standard,https://raw.githubusercontent.com/nickhamze/wonders-oddities-assets/main/wonders-sensory-starter.png,,,,"WO-FOG-IN-BOTTLE, WO-HANDCRAFTED-ECHO, WO-POCKET-THUNDER",WO-HAUNTED-CANDLE,WO-SILENCE-JAR,,,19,Brand,Wonders & Co.,1,1,,Items,3 products,1,0,,Mood,Dramatic,1,0,,,,,,Sensory Starter Pack | Wonders & Oddities General Store,"Sensory Starter Pack: Fog, echo, and thunder — a complete atmosphere in one box.",sensory pack,4.5,19,2026-04-16-a,no,no
1044,grouped,WO-VOID-SAMPLER,0850001000215,Void Sampler Box,1,0,visible,"A starter set for the aspiring nihilist: hole, dust, luck.","Contains: one Small Portable Hole, one tin of Moon Dust, and one packet of Gently Used Luck. Approach void responsibly. Not suitable for children under 14 or adults over 60.",,,none,,1,,0,no,0,0.5,45,30,8,1,"Thank you for shopping with Wonders & Oddities. Remember: results may vary, reality may also vary.",,,"Shop > Curated Bundles, Shop > Impossibilities","bundle, void, philosophical",standard,https://raw.githubusercontent.com/nickhamze/wonders-oddities-assets/main/wonders-void-sampler.png,,,,"WO-PORTABLE-HOLE, WO-MOON-DUST, WO-GENTLY-USED-LUCK",WO-COSMIC-MYSTERY-BOX,WO-SPARE-TUESDAY,,,20,Brand,Wonders & Co.,1,1,,Items,3 products,1,0,,Recommended Age,14+,1,0,,,,,,Void Sampler Box | Wonders & Oddities General Store,"Void Sampler Box: A starter set for the aspiring nihilist: hole, dust, luck.",void box,4.3,12,2026-04-16-a,no,no
1045,external,WO-INTERDIM-BAZAAR,0850001000222,Trans-Dimensional Reading Glasses,1,1,visible,"See through walls, time, and most HR policies. Sold by our partner bazaar.","Manufactured in a dimension adjacent to ours, these reading glasses provide mild clairvoyance and a +1 to trivia. Available exclusively through the Interdimensional Bazaar. Click through to purchase.",,,taxable,,1,99,10,no,0,0.08,15,6,3,1,"Thank you for shopping with Wonders & Oddities. Remember: results may vary, reality may also vary.",,189.0,"Shop > Impossibilities, Shop > Curiosities","affiliate, optical, limited-edition",standard,https://raw.githubusercontent.com/nickhamze/wonders-oddities-assets/main/wonders-interdim-bazaar.png,,,,,WO-COSMIC-MYSTERY-BOX,WO-WHISPERING-STONE,https://example.com/interdimensional-bazaar/reading-glasses,Buy at Interdimensional Bazaar,21,Brand,Bazaar Optics,1,1,,Retailer,Interdimensional Bazaar,1,0,,Dimension,4.5,1,0,,,,,,Trans-Dimensional Reading Glasses | Wonders & Oddities General Store,"Trans-Dimensional Reading Glasses: See through walls, time, and most HR policies. Sold by our partner bazaar.",trans-dimensional glasses,4.6,88,2026-04-16-a,no,no
1046,external,WO-COSMIC-MYSTERY-BOX,0850001000239,Cosmic Mystery Box (Partner-Fulfilled),1,0,visible,A box containing one of fifty possible cosmos. Shipped by a third party we do not control.,"Each Cosmic Mystery Box contains one randomly selected miniature cosmos, including but not limited to: a pocket nebula, a paperweight black hole, or a certificate of stellar nothingness. Fulfillment by Astral Dropshipping Ltd.",,,taxable,,1,25,5,no,0,1.2,25,25,25,1,"Thank you for shopping with Wonders & Oddities. Remember: results may vary, reality may also vary.",,249.0,"Shop > Curiosities, Shop > Impossibilities","affiliate, mystery, cosmic",standard,https://raw.githubusercontent.com/nickhamze/wonders-oddities-assets/main/wonders-cosmic-mystery-box.png,,,,,WO-MOON-DUST,WO-VOID-SAMPLER,https://example.com/cosmic-surplus/mystery-box,Buy from Cosmic Surplus,22,Brand,Astral Dropshipping,1,1,,Retailer,Cosmic Surplus Co.,1,0,,Contents,Randomized,1,0,,,,,,Cosmic Mystery Box (Partner-Fulfilled) | Wonders & Oddities General Store,Cosmic Mystery Box (Partner-Fulfilled): A box containing one of fifty possible cosmos. Shipped by a third party we do not control.,cosmic (partner-fulfilled),4.2,41,2026-04-16-a,no,no
1047,external,WO-WHISPERING-STONE,0850001000246,Whispering Stone (Mail-Order),1,0,visible,A small stone that whispers. In the language of your choice (some extra).,"Available from our partner quarry. Stones are approximately 3cm in diameter and whisper at a volume comfortable for one listener. Languages include: English, French, Middle Egyptian (extra).",,,taxable,,1,50,10,no,0,0.1,4,4,4,1,"Thank you for shopping with Wonders & Oddities. Remember: results may vary, reality may also vary.",,44.0,Shop > Curiosities,"affiliate, stone, quiet",standard,https://raw.githubusercontent.com/nickhamze/wonders-oddities-assets/main/wonders-whispering-stone.png,,,,,WO-SILENCE-JAR,WO-MOON-DUST,https://example.com/meaningful-quarry/stone,Order from Meaningful Quarry,23,Brand,Meaningful Quarry,1,1,,Retailer,Meaningful Quarry Direct,1,0,,Language,Your choice,1,0,,,,,,Whispering Stone (Mail-Order) | Wonders & Oddities General Store,Whispering Stone (Mail-Order): A small stone that whispers. In the language of your choice (some extra).,whispering (mail-order),4.9,207,2026-04-16-a,no,no
1048,simple,WO-ONE-HAND-CLAPPING,0850001000253,The Sound of One Hand Clapping (WAV),1,0,visible,"Finally, a recording. 48kHz, 24-bit, zen-certified.","Captured in a Kyoto studio using a single hand and experimental microphones. 4.3 seconds long. Plays best at low volume, late at night, when alone.",,,taxable,zero-rate,1,99999,0,no,1,0,0,0,0,1,"Thank you for shopping with Wonders & Oddities. Remember: results may vary, reality may also vary.",,6.0,Shop > Digital Oddments,"digital, audio, zen",,https://raw.githubusercontent.com/nickhamze/wonders-oddities-assets/main/wonders-one-hand-clapping.png,3,30,,,"WO-LOST-RECIPE-TIME, WO-IMAGINARY-DEED",WO-SILENCE-JAR,,,24,Brand,Wonders Digital,1,1,,Format,WAV,1,0,,Duration,4.3s,1,0,,Sound of One Hand (WAV),https://raw.githubusercontent.com/nickhamze/wonders-oddities-assets/main/one-hand.wav,,,The Sound of One Hand Clapping (WAV) | Wonders & Oddities General Store,"The Sound of One Hand Clapping (WAV): Finally, a recording. 48kHz, 24-bit, zen-certified.",the (wav),4.7,63,2026-04-16-a,yes,yes
1049,simple,WO-LOST-RECIPE-TIME,0850001000260,Lost Recipe for Time (PDF),1,0,visible,An ancient recipe for making time. Ingredients: mostly waiting.,"A 12-page illustrated PDF recipe, translated from a manuscript found in a drawer. Serves: indefinite. Preparation time: variable. Pairs well with patience.",2026-04-01 00:00:00,2026-05-31 23:59:59,taxable,zero-rate,1,99999,0,no,1,0,0,0,0,1,"Thank you for shopping with Wonders & Oddities. Remember: results may vary, reality may also vary.",9.0,12.0,Shop > Digital Oddments,"digital, pdf, recipe",,https://raw.githubusercontent.com/nickhamze/wonders-oddities-assets/main/wonders-lost-recipe-time.png,5,365,,,WO-SPARE-TUESDAY,WO-ONE-HAND-CLAPPING,,,25,Brand,Wonders Digital,1,1,,Format,PDF,1,0,,Pages,12,1,0,,Lost Recipe for Time (PDF),https://raw.githubusercontent.com/nickhamze/wonders-oddities-assets/main/lost-recipe.pdf,,,Lost Recipe for Time (PDF) | Wonders & Oddities General Store,Lost Recipe for Time (PDF): An ancient recipe for making time. Ingredients: mostly waiting.,lost (pdf),4.8,41,2026-04-16-a,yes,yes
1050,simple,WO-IMAGINARY-DEED,0850001000277,Certificate of Imaginary Ownership (ZIP),1,0,visible,A legally non-binding deed to one (1) imaginary property of your choosing.,Receive a printable PDF certificate plus a PNG seal. Customize the property name yourself (no lookups performed). Not recognized by any jurisdiction. Still feels nice.,,,taxable,zero-rate,1,99999,0,no,1,0,0,0,0,1,"Thank you for shopping with Wonders & Oddities. Remember: results may vary, reality may also vary.",,4.0,Shop > Digital Oddments,"digital, certificate, novelty",,https://raw.githubusercontent.com/nickhamze/wonders-oddities-assets/main/wonders-imaginary-deed.png,10,90,,,WO-LOST-RECIPE-TIME,WO-IMAGINARY-DEED,,,26,Brand,Wonders Digital,1,1,,Format,ZIP (PDF+PNG),1,0,,License,"Personal, Imaginary",1,0,,Imaginary Deed (PDF),https://raw.githubusercontent.com/nickhamze/wonders-oddities-assets/main/imaginary-deed.pdf,Imaginary Seal (PNG),https://raw.githubusercontent.com/nickhamze/wonders-oddities-assets/main/imaginary-seal.png,Certificate of Imaginary Ownership (ZIP) | Wonders & Oddities General Store,Certificate of Imaginary Ownership (ZIP): A legally non-binding deed to one (1) imaginary property of your choosing.,certificate (zip),4.5,29,2026-04-16-a,yes,yes
1051,simple,WO-DEJA-VU-SESSION,0850001000284,On-Demand Déjà Vu Session,1,1,visible,A 15-minute guided déjà vu experience. Has it happened yet?,Book a 15-minute session with one of our certified déjà vu practitioners. Receive one (1) sensation of familiar unfamiliarity. Scheduling link arrives by email. Cancellations are processed twice.,,,taxable,zero-rate,1,99999,0,no,1,0,0,0,0,1,"Thank you for shopping with Wonders & Oddities. Remember: results may vary, reality may also vary.",,45.0,"Shop > Digital Oddments, Shop > Moods & Feelings","service, virtual, experience",,"https://raw.githubusercontent.com/nickhamze/wonders-oddities-assets/main/wonders-deja-vu-session.png, https://raw.githubusercontent.com/nickhamze/wonders-oddities-assets/main/wonders-borrowed-nostalgia.png, https://raw.githubusercontent.com/nickhamze/wonders-oddities-assets/main/wonders-spare-key-nowhere.png",,,,,WO-BORROWED-NOSTALGIA,WO-SPARE-TUESDAY,,,27,Brand,Déjà Vu Direct,1,1,,Duration,15 min,1,0,,Delivery,Remote,1,0,,,,,,On-Demand Déjà Vu Session | Wonders & Oddities General Store,On-Demand Déjà Vu Session: A 15-minute guided déjà vu experience. Has it happened yet?,on-demand session,4.4,73,2026-04-16-a,yes,no
1052,simple,WO-BORROWED-NOSTALGIA,0850001000291,One Hour of Borrowed Nostalgia,1,0,visible,"Nostalgia for a childhood you didn't have. Non-refundable, strangely comforting.","Sixty minutes of warm, sepia-toned memories beamed directly to you via a proprietary process. Memories are lightly used and may belong to someone named Carl (see: Moon Dust).",2026-04-01 00:00:00,2026-05-31 23:59:59,taxable,zero-rate,1,99999,0,no,1,0,0,0,0,1,"Thank you for shopping with Wonders & Oddities. Remember: results may vary, reality may also vary.",30.0,38.0,"Shop > Digital Oddments, Shop > Moods & Feelings","service, virtual, sepia",,https://raw.githubusercontent.com/nickhamze/wonders-oddities-assets/main/wonders-borrowed-nostalgia.png,,,,,WO-MEMORY-FOAM-MEMORY,WO-DEJA-VU-SESSION,,,28,Brand,Borrowed Memory Co.,1,1,,Duration,60 min,1,0,,Delivery,Broadcast,1,0,,,,,,One Hour of Borrowed Nostalgia | Wonders & Oddities General Store,"One Hour of Borrowed Nostalgia: Nostalgia for a childhood you didn't have. Non-refundable, strangely comforting.",one nostalgia,4.6,58,2026-04-16-a,yes,no
1053,simple,WO-SPARE-KEY-NOWHERE,0850001000307,Spare Key to Nowhere,1,0,visible,Fits no lock. Opens no door. Jangles nicely.,"A heavy brass key, approximately 7cm long, which does not correspond to any known lock. Useful for: weight, aesthetics, dramatic gestures. Not useful for: entering anywhere.",,,taxable,,1,36,5,no,0,0.08,7,2,0.5,1,"Thank you for shopping with Wonders & Oddities. Remember: results may vary, reality may also vary.",,19.0,Shop > Curiosities,"brass, handcrafted, decorative",standard,https://raw.githubusercontent.com/nickhamze/wonders-oddities-assets/main/wonders-spare-key-nowhere.png,,,,,WO-HAUNTED-CANDLE,WO-GENTLY-USED-LUCK,,,29,Brand,Wonders & Co.,1,1,,Material,Brass,1,0,,Length,7cm,1,0,,,,,,Spare Key to Nowhere | Wonders & Oddities General Store,Spare Key to Nowhere: Fits no lock. Opens no door. Jangles nicely.,spare nowhere,4.3,37,2026-04-16-a,no,no
